c_id,company_name,city,relation
CMatched-1047,Deutsche Gesellschaft für Cybersicherheit mbH & Co. KG,Flensburg,LOBBYIST
CMatched-1048,Statkraft Markets GmbH,Düsseldorf,LOBBYIST
CMatched-1049,Currenta GmbH & Co. OHG,Leverkusen,LOBBYIST
CMatched-1050,Fujitsu Technology Solutions,München,LOBBYIST
CMatched-1051,Initiativkreis der Europäischen Metropolregionen in Deutschland,Hamburg,LOBBYIST
CMatched-1052,Thorn,"Manhattan Beach, CA",LOBBYIST
CMatched-1053,BDKJ-Diözesanverband Regensburg,Regensburg,LOBBYIST
CMatched-1054,Swedish Match AB,Stockholm,LOBBYIST
CMatched-1055,Swedish Match AB,11885 Stockholm,LOBBYIST
CMatched-1056,alcemy GmbH,Berlin,LOBBYIST
CMatched-1057,Deutsche Stiftung Organtransplantation,Frankfurt am Main,LOBBYIST
CMatched-1058,Deutscher Bundesverband für Logopädie e.V. (dbl),Frechen,CLIENT
CMatched-1059,Bundesverband Deutscher Schulen für Logopädie e.V. (BDSSL),Bremen,CLIENT
CMatched-1062,Hochschulverbund Gesundheitsfachberufe (HVG),Idstein,CLIENT
CMatched-1063,Hochschulverbund Gesundheitsfachberufe (HVG),Hildesheim,CLIENT
CMatched-1064,LOGO Deutschland e.V. Selbständige in der Logopädie,Berlin,CLIENT
CMatched-1065,LOGO Deutschland e.V. Selbständige in der Logopädie,Berlin,CLIENT
CMatched-1066,"Deutscher Bundesverband der Atem-, Sprech- und Stimmlehrer/innen Lehrervereinigung Schlaffhorst-Andersen e.V. (dba)",Hamburg,CLIENT
CMatched-1067,Werter GmbH,München,LOBBYIST
CMatched-1068,Tilray Deutschland GmbH,Köln,CLIENT
CMatched-1070,Verband der Bildungszentren im ländlichen Raum e.V.,Berlin,LOBBYIST
CMatched-1071,Klima-Bündnis der europäischen Städte mit indigenen Völkern der Regenwälder | Alianza del Clima e.V.,Frankfurt am Main,LOBBYIST
CMatched-1072,CoviMedical GmbH,Dillenburg,LOBBYIST
CMatched-1073,GFT Technologies SE,Stuttgart,LOBBYIST
CMatched-1074,Deutscher Kegler- und Bowlingbund e.V.,Berlin,LOBBYIST
CMatched-1075,Nexperia Germany GmbH,Hamburg,LOBBYIST
CMatched-1076,Bündnis Lebensmittelrettung,Berlin,LOBBYIST
CMatched-1077,FitX Deutschland GmbH,Essen,LOBBYIST
CMatched-1078,SCHMIDT Gruppe Entertainment GmbH,Monheim am Rhein,LOBBYIST
CMatched-1079,Verband der Agrargewerblichen Wirtschaft (VdAW) e.V.,Stuttgart,LOBBYIST
CMatched-1080,Sächsischer Schützenbund e.V.,Leipzig,LOBBYIST
CMatched-1081,Deutsches Jugendherbergswerk - DJH Hauptverband,Detmold,LOBBYIST
CMatched-1082,Thüringer Apothekerverband e.V.,Erfurt,LOBBYIST
CMatched-1083,Cryptshare AG,Freiburg im Breisgau,LOBBYIST
CMatched-862,Landesbund für Vogelschutz in Bayern (LBV),Hilpoltstein,LOBBYIST
CMatched-863,Vereinigung der Sächsischen Wirtschaft e.V. (VSW),Dresden,LOBBYIST
CMatched-864,5 am Tag e.V.,Mannheim,LOBBYIST
CMatched-865,Bäckerinnungs-Verband Westfalen-Lippe,Bochum,LOBBYIST
CMatched-866,Fachgruppe Obstbau,Berllin,LOBBYIST
CMatched-867,EHRENBERG SØRENSEN Kommunikation GmbH,Hamburg,LOBBYIST
CMatched-868,Scandlines Deutschland GmbH,Hamburg,CLIENT
CMatched-869,Stena Line GmbH & Co. KG,Hamburg,CLIENT
CMatched-872,SEEHAFEN KIEL GmbH & Co. KG,Kiel,CLIENT
CMatched-873,Verbund kompostierbare Produkte e.V.,Berlin,LOBBYIST
CMatched-874,Automotive Cluster Ostdeutschland (ACOD),Leipzig,LOBBYIST
CMatched-875,Deutscher Sportwettenverband e. V.,Berlin,LOBBYIST
CMatched-876,Deutscher Sportwettenverband e. V.,Berlin,LOBBYIST
CMatched-877,Fachvereinigung Extruderschaum e.V. - FPX,Berlin,LOBBYIST
CMatched-878,Schön Klinik Medizinsches Versorgungszentrum GmbH,München,LOBBYIST
CMatched-879,Schön Klinik Medizinsches Versorgungszentrum GmbH,München,LOBBYIST
CMatched-880,Forum InformatikerInnen für Frieden und gesellschaftliche Verantwortung (FIfF) e. V.,Bremen,LOBBYIST
CMatched-881,Forum Nachhaltiger Kakao e.V.,Berlin,LOBBYIST
CMatched-882,Forum Nachhaltiger Kakao e.V.,Berlin,LOBBYIST
CMatched-883,Mother Hood e.V.,Bonn,LOBBYIST
CMatched-884,CHINA-BRÜCKE e.V.,Potsdam,LOBBYIST
